station_index,point_index,x_m,z_m,half_breadth_m
5,5,-0.4903926402016152,-4.792898500359881e-05,0.0016591478957382168
5,6,-0.4903926402016152,-6.862735923738782e-05,0.0016532349642534815
5,7,-0.4903926402016152,-9.27846029565272e-05,0.0016449437924678978
5,8,-0.4903926402016152,-0.00012025177872038979,0.0016339140703767647
5,9,-0.4903926402016152,-0.00015085954225662853,0.0016198170605836557
5,10,-0.4903926402016152,-0.00018441918652492824,0.0016023605614390694
5,11,-0.4903926402016152,-0.00022072380515866086,0.001581293103764638
5,12,-0.4903926402016152,-0.0002595495681114385,0.0015564074401097899
5,13,-0.4903926402016152,-0.0003006571016437811,0.0015275433709155955
5,14,-0.4903926402016152,-0.0003437929641418196,0.0014945899442248185
5,15,-0.4903926402016152,-0.00038869120866912385,0.0014574870613770496
5,16,-0.4903926402016152,-0.00043507502261800165,0.0014162265190186775
5,17,-0.4903926402016152,-0.0004826584343512747,0.0013708525170916064
5,18,-0.4903926402016152,-0.0005311480763125176,0.0013214616629549528
5,19,-0.4903926402016152,-0.0005802449937345968,0.0012682025033299018
5,20,-0.4903926402016152,-0.0006296464877952236,0.0012112746183323673
5,21,-0.4903926402016152,-0.0006790479818558504,0.0011509273155483073
5,22,-0.4903926402016152,-0.0007281448992779297,0.0010874579670864964
5,23,-0.4903926402016152,-0.0007766345412391725,0.0010212100391225132
5,24,-0.4903926402016152,-0.0008242179529724458,0.0009525708721398534
5,25,-0.4903926402016152,-0.0008706017669213234,0.0008819692817163455
5,26,-0.4903926402016152,-0.0009155000114486277,0.0008098730656561661
5,27,-0.4903926402016152,-0.0009586358739466662,0.0007367865257609868
5,28,-0.4903926402016152,-0.0009997434074790086,0.0006632481452986074
5,29,-0.4903926402016152,-0.0010385691704317863,0.0005898286126652739
5,30,-0.4903926402016152,-0.0010748737890655191,0.0005171294592008425
5,31,-0.4903926402016152,-0.0011084334333338187,0.0004457827055574609
5,32,-0.4903926402016152,-0.0011390411968700575,0.0003764521270198454
5,33,-0.4903926402016152,-0.0011665083726339202,0.00030983713697914535
5,34,-0.4903926402016152,-0.0011906656163530596,0.0002466810326059125
5,35,-0.4903926402016152,-0.0012113639905868485,0.00018778688773385085
5,36,-0.4903926402016152,-0.001228475882975228,0.00013404789712876398
5,37,-0.4903926402016152,-0.001241895793011342,8.650816251312307e-05
5,38,-0.4903926402016152,-0.0012515409824872448,4.6499053272259986e-05
5,39,-0.4903926402016152,-0.0012573519856024667,1.602452494480077e-05
5,40,-0.4903926402016152,-0.0012592929755904474,0.0
6,0,-0.4861849601988383,-0.0,0.0025961427796823314
6,1,-0.4861849601988383,-2.8729365298827243e-06,0.00259606368945721
6,2,-0.4861849601988383,-1.1474033510475742e-05,0.002595452782614453
6,3,-0.4861849601988383,-2.5750262318738914e-05,0.0025936991363230554
6,4,-0.4861849601988383,-4.561360525674126e-05,0.0025901649110676977
6,5,-0.4861849601988383,-7.094159821003827e-05,0.0025842103269910367
6,6,-0.4861849601988383,-0.00010157808567966053,0.0025752100728593315
6,7,-0.4861849601988383,-0.00013733418353269197,0.0025625662508921843
6,8,-0.4861849601988383,-0.00017798944353575964,0.002545719190395274
6,9,-0.4861849601988383,-0.00022329321249169872,0.0025241566517617484
6,10,-0.4861849601988383,-0.0002729661775998638,0.0024974216749173465
6,11,-0.4861849601988383,-0.00032670208851242623,0.002465119219103768
6,12,-0.4861849601988383,-0.00038416964546960627,0.0024269216922100556
6,13,-0.4861849601988383,-0.000445014541872861,0.0023825734435363424
6,14,-0.4861849601988383,-0.0005088616487028833,0.0023318942807987334
6,15,-0.4861849601988383,-0.0005753173273147484,0.002274782064893464
6,16,-0.4861849601988383,-0.0006439718563510588,0.002211214432043232
6,17,-0.4861849601988383,-0.0007144019578103576,0.002141249691381282
