x_m,z_m,half_breadth_m
0.105,0.411747434826,0
0.105,0.412556061634,0
0.105,0.41324111036,0
0.105,0.413802168357,0
0.105,0.414238897663,0
0.105,0.414551035211,0
0.105,0.414738392979,0
0.105,0.414800858111,0
0.1575,0,0.374421397198
0.1575,6.24651316307e-05,0.374421342187
0.1575,0.000249822899863,0.374420619717
0.1575,0.000561960447384,0.374417737854
0.1575,0.000998689754205,0.374410418315
0.1575,0.00155974775092,0.374395662369
0.1575,0.00224479647718,0.374369796701
0.1575,0.00305342328524,0.374328510624
0.1575,0.00398514108855,0.374266888757
0.1575,0.00503938865514,0.374179441056
0.1575,0.0062155309457,0.374060131221
0.1575,0.0075128594961,0.373902404047
0.1575,0.00893059284412,0.373699212022
0.1575,0.0104678770002,0.373443041356
0.1575,0.0121237859619,0.373125937516
0.1575,0.0138973222715,0.372739530285
0.1575,0.0157874176171,0.372275058314
0.1575,0.0177929334759,0.371723393131
0.1575,0.0199126618001,0.371075062517
0.1575,0.0221453257447,0.370320273155
0.1575,0.0244895804365,0.369448932468
0.1575,0.0269440137839,0.368450669504
0.1575,0.0295071473283,0.367314854756
0.1575,0.0321774371336,0.366030618775
0.1575,0.0349532747173,0.364586869426
0.1575,0.0378329880186,0.362972307614
0.1575,0.0408148424058,0.361175441313
0.1575,0.0438970417214,0.359184597673
0.1575,0.0470777293637,0.356987933001
0.1575,0.0503549894054,0.354573440328
0.1575,0.0537268477477,0.351928954283
0.1575,0.0571912733091,0.349042152909
0.1575,0.0607461792493,0.345900556024
0.1575,0.0643894242258,0.342491519616
0.1575,0.0681188136841,0.338802225711
0.1575,0.0719321011795,0.334819666993
0.1575,0.07582698973,0.330530625313
0.1575,0.0798011332006,0.325921643048
0.1575,0.0838521377157,0.320978985971
0.1575,0.0879775631017,0.315688596034
0.1575,0.0921749243567,0.310036031972
0.1575,0.0964416931472,0.304006395126
0.1575,0.100775299331,0.297584237115
0.1575,0.105173132506,0.290753444992
0.1575,0.109632543582,0.283497098124
0.1575,0.114150846377,0.275797289181
0.1575,0.118725319233,0.267634898909
0.1575,0.12335320666,0.258989310556
0.1575,0.128031720991,0.249838044293
0.1575,0.132758044063,0.240156283633
0.1575,0.137529328917,0.229916253316
0.1575,0.14234270151,0.219086388306
0.1575,0.147195262445,0.207630201774
0.1575,0.152084088721,0.195504706629
0.1575,0.157006235492,0.182658152563
0.1575,0.16195873784,0.169026671312
0.1575,0.166938612565,0.154529095561
0.1575,0.171942859974,0.139058537674
0.1575,0.176968465698,0.122467774854
0.1575,0.182012402498,0.104541572809
0.1575,0.187071632096,0.0849374320569
0.1575,0.192143107002,0.0630324540081
0.1575,0.197223772347,0.0373662955122
0.1575,0.20231056773,0
0.1575,0.207400429055,0
0.1575,0.212490290381,0
0.1575,0.217577085764,0
0.1575,0.222657751109,0
0.1575,0.227729226015,0
0.1575,0.232788455613,0
0.1575,0.237832392413,0
0.1575,0.242857998136,0
0.1575,0.247862245546,0
0.1575,0.252842120271,0
0.1575,0.257794622619,0
0.1575,0.26271676939,0
0.1575,0.267605595666,0
0.1575,0.272458156601,0
0.1575,0.277271529193,0
0.1575,0.282042814048,0
0.1575,0.28676913712,0
0.1575,0.291447651451,0
0.1575,0.296075538878,0
0.1575,0.300650011734,0
